,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,dominant_topic
223188156,0.0,0.0,0.0,0.26,0.11,0.0,0.41,0.0,0.0,0.07,0.02,0.0,0.08,0.0,0.05,6
223190141,0.0,0.0,0.01,0.55,0.0,0.0,0.15,0.07,0.13,0.0,0.0,0.0,0.02,0.01,0.06,3
223223641,0.0,0.0,0.01,0.11,0.3,0.0,0.33,0.0,0.14,0.06,0.0,0.0,0.05,0.0,0.0,6
223248256,0.0,0.0,0.0,0.0,0.11,0.08,0.13,0.0,0.28,0.0,0.0,0.24,0.0,0.0,0.15,8
223384302,0.0,0.0,0.0,0.01,0.03,0.0,0.16,0.0,0.16,0.0,0.0,0.0,0.47,0.0,0.16,12
223431457,0.0,0.0,0.0,0.15,0.0,0.04,0.38,0.06,0.2,0.17,0.0,0.0,0.0,0.0,0.0,6
223486441,0.0,0.0,0.01,0.0,0.19,0.02,0.26,0.0,0.16,0.28,0.02,0.01,0.05,0.0,0.0,9
223491573,0.0,0.0,0.0,0.08,0.17,0.0,0.19,0.0,0.05,0.05,0.0,0.0,0.45,0.0,0.0,12
223508064,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.03,0.1,0.02,0.13,0.0,0.05,0.01,0.5,14
223562304,0.0,0.0,0.01,0.09,0.0,0.0,0.61,0.0,0.02,0.09,0.0,0.05,0.0,0.04,0.09,6
223607512,0.0,0.0,0.0,0.0,0.11,0.0,0.26,0.0,0.27,0.17,0.0,0.08,0.04,0.0,0.07,8
223646125,0.0,0.0,0.01,0.06,0.0,0.0,0.36,0.39,0.13,0.03,0.0,0.0,0.0,0.0,0.03,7
223799632,0.0,0.0,0.0,0.0,0.02,0.0,0.2,0.02,0.05,0.0,0.02,0.02,0.45,0.0,0.23,12
223829041,0.08,0.08,0.0,0.04,0.12,0.0,0.26,0.04,0.0,0.0,0.0,0.0,0.3,0.0,0.07,12
223834440,0.0,0.24,0.0,0.01,0.01,0.01,0.07,0.0,0.21,0.01,0.06,0.0,0.21,0.0,0.17,1
223936753,0.0,0.01,0.0,0.01,0.0,0.04,0.38,0.0,0.46,0.01,0.03,0.0,0.0,0.03,0.02,8
226076337,0.0,0.15,0.02,0.45,0.0,0.0,0.08,0.01,0.15,0.06,0.06,0.0,0.0,0.0,0.0,3
231352001,0.0,0.03,0.0,0.03,0.0,0.02,0.0,0.0,0.31,0.0,0.0,0.01,0.17,0.0,0.44,14
231352034,0.0,0.0,0.0,0.02,0.5,0.0,0.26,0.0,0.08,0.02,0.0,0.02,0.08,0.0,0.02,4
231352047,0.0,0.08,0.0,0.0,0.56,0.0,0.18,0.0,0.05,0.0,0.03,0.0,0.0,0.03,0.06,4
231352052,0.0,0.05,0.0,0.0,0.4,0.0,0.26,0.0,0.04,0.0,0.05,0.0,0.0,0.14,0.05,4
231352269,0.56,0.0,0.0,0.02,0.0,0.0,0.07,0.0,0.05,0.09,0.13,0.05,0.0,0.01,0.0,0
231440112,0.37,0.0,0.0,0.0,0.01,0.0,0.41,0.02,0.0,0.04,0.04,0.0,0.03,0.0,0.08,6
231556045,0.0,0.0,0.0,0.1,0.09,0.0,0.49,0.01,0.25,0.0,0.03,0.01,0.02,0.0,0.0,6
231637212,0.0,0.01,0.0,0.01,0.1,0.0,0.35,0.0,0.18,0.02,0.01,0.0,0.01,0.01,0.31,6
231699851,0.0,0.0,0.0,0.2,0.15,0.0,0.24,0.04,0.14,0.01,0.0,0.0,0.22,0.0,0.0,6
231907729,0.0,0.0,0.0,0.0,0.0,0.01,0.14,0.0,0.31,0.1,0.02,0.42,0.0,0.0,0.01,11
231969973,0.0,0.01,0.0,0.0,0.0,0.01,0.31,0.01,0.24,0.0,0.36,0.0,0.01,0.0,0.04,10
232020897,0.0,0.0,0.0,0.0,0.15,0.03,0.08,0.02,0.25,0.05,0.02,0.35,0.0,0.01,0.03,11
232041915,0.0,0.0,0.0,0.27,0.02,0.0,0.33,0.0,0.01,0.35,0.0,0.0,0.0,0.0,0.02,9
232044056,0.0,0.08,0.0,0.0,0.23,0.08,0.39,0.0,0.0,0.0,0.0,0.11,0.0,0.06,0.04,6
232053144,0.0,0.0,0.0,0.13,0.0,0.0,0.53,0.01,0.0,0.28,0.0,0.0,0.03,0.0,0.03,6
232108560,0.0,0.0,0.03,0.22,0.28,0.0,0.19,0.0,0.02,0.14,0.0,0.06,0.0,0.01,0.04,4
232137461,0.0,0.0,0.01,0.04,0.14,0.01,0.15,0.04,0.1,0.09,0.15,0.08,0.13,0.0,0.06,6
